job_title,company_name,rating,experience,salary,location,job_description,skills
Amazon web services/AWS Developer,Infosys,3.8,2-7 Yrs,Not disclosed,Bengaluru,Bachelor of Engineering . Service Line,"AWS,kubernetes,web services,amazon redshift,docker,ansible,sql,git"
AWS Developer,Infosys,3.8,5-7 Yrs,Not disclosed,Bengaluru,"BSc, BTech, Bachelor of Engineering . Service Line Good knowledge on software configura...","cloud integration,azure data factory,configuration management,devops,aws,kubernetes,python,github"
"Staff Software Engineer, Cloud Platform",Startree,None,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelor s degree in Computer Science, and / or 8+ years relevant industry . Experience...","Cloud computing,Automation,GCP,SAAS,Agile,Open source,Apache,Distribution system"
Cloud Migration Engineer,Accenture,4.0,3-7 Yrs,Not disclosed,Bengaluru,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"commvault,linux,microsoft windows,cloud infrastructure,emc,dpm,cloud migration,vmware"
Cloud Migration Engineer,Accenture,4.0,5-10 Yrs,Not disclosed,Bengaluru,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"commvault,storage area network,microsoft windows,linux,cloud infrastructure,dpm,san,cloud migration"
Cloud Migration Engineer,Accenture,4.0,5-10 Yrs,Not disclosed,Bengaluru,Project Role : Cloud Migration EngineerProject Role Description : Provides assessment o...,"kubernetes,microsoft azure,javascript,docker,react.js,project management,application migration,cloud migration"
Cloud Migration Engineer,Accenture,4.0,2-7 Yrs,Not disclosed,Bengaluru,"Good To Have Skills:Experience in cloud migration, knowledge of private and public clou...","cloud migration,aws administration,troubleshooting,aws,cloud computing,vmware,microsoft azure,docker"
Cloud Migration Engineer,Accenture,4.0,7-12 Yrs,Not disclosed,Ahmedabad,Project Role : Cloud Migration EngineerProject Role Description : Provides assessment o...,"cloud migration,powershell,microsoft azure,storage area network,aws,brocade,docker,ansible"
Cloud Migration Engineer,Accenture,4.0,3-7 Yrs,Not disclosed,Bengaluru,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"talend big data,cloud migration,talend,big data,aws,hive,oracle,amazon redshift"
Cloud Migration Engineer,Accenture,4.0,5-8 Yrs,Not disclosed,Bengaluru,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"architecting,ssi,google,cloud platform,platform architecture,kubernetes,cloud migration,vmware"
Cloud Native Engineer,Accenture,4.0,3-6 Yrs,Not disclosed,Bengaluru,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"microsoft azure,docker,gcp,devops,aws,kubernetes,continuous integration,python"
Associate Cloud Computing Engineer,Bigspire Software,4.3,2-5 Yrs,Not disclosed,Bengaluru,"Skill Sets: Should have a good communication skills, knowledge in Cloud Computing conce...","cloud,Cloud computing,Basic,Web services,web,service,Computation,Web technologies"
Application Developer,Accenture,4.0,5-8 Yrs,Not disclosed,Chennai,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years of fu...,"microsoft azure,ruby,docker,devops,cloud computing platform,kubernetes,python,aws cloudformation"
Cloud Platform Engineer,Accenture,4.0,3-5 Yrs,Not disclosed,Chennai,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"project management,performance testing,cloud platform,cloud infrastructure,aws,kubernetes,python,vmware"
Cloud Platform Engineer,Accenture,4.0,12-16 Yrs,Not disclosed,Chennai,"Project Role :Cloud Platform EngineerProject Role Description :Designs, builds, tests, ...","cloud security,cloud architecture,data modeling,devops,design principles,kubernetes,python,vmware"
Cloud Platform Engineer,Accenture,4.0,5-9 Yrs,Not disclosed,Chennai,Minimum 5 year(s) of experience is required. Educational Qualification : 15 years full ...,"performance testing,cloud platform,data modeling,cloud infrastructure,aws,kubernetes,python,vmware"
Cloud Platform Engineer,Accenture,4.0,3-5 Yrs,Not disclosed,Chennai,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"performance testing,microsoft azure,data modeling,cloud applications,aws,kubernetes,python,vmware"
Cloud Platform Engineer,Accenture,4.0,3-7 Yrs,Not disclosed,Chennai,Minimum 3 year(s) of experience is required. Educational Qualification : 15 years full ...,"performance testing,microsoft azure,data modeling,cloud applications,aws,kubernetes,python,vmware"
Cloud Platform Engineer,Accenture,4.0,5-7 Yrs,Not disclosed,Chennai,"Project Role :Cloud Platform EngineerProject Role Description :Designs, builds, tests, ...","microsoft azure,data modeling,gcp,cloud infrastructure,aws,kubernetes,python,vmware"
Cloud Platform Engineer,Accenture,4.0,5-8 Yrs,Not disclosed,Chennai,"Project Role :Cloud Platform EngineerProject Role Description :Designs, builds, tests, ...","microsoft azure,data modeling,gcp,cloud infrastructure,aws,kubernetes,python,vmware"
Operations Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Bengaluru,Project Role Description : Support the operations and / or manage delivery for producti...,"production,troubleshooting,cloud computing,aws,itil,continuous integration,python,project management"
AWS Engineer,Revonextsoft,1.7,0-8 Yrs,Not disclosed,Bengaluru,Revonextsoft is looking for AWS Engineer to join our dynamic team and embark on a rewar...,"continuous integration,cd,kubernetes,python,cloud security,production systems,vmware,ci/cd"
Application Developer: AWS Cloud FullStack,IBM,4.1,4-6 Yrs,Not disclosed,Hyderabad,Required Technical and Professional Expertise . Should be AWS certified Developer Lambd...,"golang,sql,mesos,devops,lambda functions,kubernetes,continuous integration,css"
