job_title,company_name,rating,experience,salary,location,job_description,skills
"Data Engineer (Python, PySpark) - Vadodara",Alembic Pharmaceuticals,4.0,2-6 Yrs,Not disclosed,Vadodara,We are seeking a skilled Data Engineer with minimum 2 years of hands-on experience in P...,"Data Engineering,CI/CD Pipelines,SAP HANA,PySpark,Delta Lake,Data Modeling,Data Governance,Azure DevOps"
Java Back End Developer,Leading MNC,,5-9 Yrs,Not disclosed,"Hybrid - Pune, Bengaluru"," Role Java Backend DeveloperLocation- Marathahalli, BangaloreExp -5-8 YearsNotice - Nov...","Java,springboot,Microservices,AWS,CLoud,Micro services,Advanced Java,Java Application Development"
AffinityX Is Hiring For Freshers/Experienced Graphic Designers,AffinityX,3.0,0-3 Yrs,Not disclosed,Pune(Eon Free Zone  +1),Willing to work in permanent or all geography rotational night shifts (US / CA/AU / NZ/...,"Photoshop,Indesign,Illustrator,Hiring,Graphics,Graphic designing,Design"
Application Developer: Microsoft Cloud,IBM,4.1,3-7 Yrs,Not disclosed,Bengaluru,Required Technical and Professional Expertise . SQL Preferred Technical and Professiona...,"api gateway,microsoft azure,data bricks,java,agile,kubernetes,python,microservices"
Backend Developers,Alp Consulting,3.3,2-4 Yrs,Not disclosed,Bengaluru,"Essential Skills (Skills without which the person cannot perform the role, limit to a m...","algorithms,java,spring microservices,ci/cd,data structures,agile,Cd,Spring"
IT software developer,Siemens,4.1,0-5 Yrs,Not disclosed,Thane,What do I need to qualify for this job . Bachelors degree or equivalent experience in C...,"Automation,Front end,Illustrator,MySQL,Javascript,PHP,HTTP,Adobe"
Senior Software Engineer (Python),Jeavio,4.2,5-10 Yrs,Not disclosed,Hybrid - Vadodara,"The ideal candidate is a problem solver with deep experience in Python, micro services,...","Rest API,Python,Django,Postgresql,Artificial Intelligence,MySQL,Fast API,AWS"
Java Full Stack Developer,Wipro,3.7,8-13 Yrs,Not disclosed,"Hybrid - Hyderabad, Bengaluru",. 5+ years of experience in full stack development using Java and Angular / React Exper...,"angular,react,Java Fullstack,java,Stack,Full Stack,React.js,Development"
Content Creator - Learning Management Systems,Infosearch Bpo Services,4.1,0-2 Yrs,Not disclosed,Chennai,. Utilise various multimedia tools to create high-quality videos and visual content tha...,"BPO,Corporate training,LMS,Management systems,Instructional design,Project management,HR,Training and Development"
Content Creator,Credohire,,0-3 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Bachelors degree in Marketing, Communication, or related fieldWe always strive for the ...","digital marketing,copy writing,writing,cms,media,content management,communication skills,content creation"
