job_title,company_name,rating,experience,salary,location,job_description,skills
Java Developer,Service based Corporate in B2B IT Services Domain,,4-8 Yrs,9-12 Lacs PA,Bhubaneswar,"Experience in Spring boot, unit testing, Junit and Mockito Ensure code meets the requir...","Java,Spring Boot,Microservices,NoSQL,MySQL,Kafka,J2Ee,Boot"
Java Developer Fresher,NTT Data Payment Services,3.9,0-1 Yrs,4-8 Lacs PA,"Thane, Navi Mumbai, Mumbai (All Areas)",JD for Java Developer Fresher You must have Hands on experience of OOAD and Design Patt...,"Java,Java Development,J2Ee,Spring Boot,Microservices,Hibernate,Spring,Web Services"
Embedded Engineer,Client of Connexion Group,,7-8 Yrs,30-40 Lacs PA,"Hyderabad, Bengaluru","Exp in C++11 or higher Knowledge in the video streaming (MPEG-DASH, HLS, Progressive Do...","MPEG,C++,Multithreading,Mpeg-Dash,H264,MP4,Linux,AV"
Senior engineer/ lead- JAVA ( Full Stack & Backend Developer ),Ness,3.4,3-8 Yrs,Not disclosed,Remote,Looking for immediate Joiners only,"Java,AWS,Microservices,rest api,Spring Boot,Senior,Backend,Leadership"
Senior Python Developer,AI based startup,,6-11 Yrs,Not disclosed,Delhi / NCR,"This is C2H (Contract to Hire), initially for 6 months on contract, which is extendable...","Python Development,AWS,Flask,Ajax,MySQL,Javascript,Fast API,Redis"
Python Software Developer,Highbrow Technology Inc,,4-9 Yrs,Not disclosed,Remote,Position : Python Developer Multiple positions Complete Remote About the RoleWe are act...,"Python Development,Python,Data Science,Data Analysis,SQL,Software,Analysis,Data"
Marketing and Branding Executive,Hillenbrand,3.8,0-2 Yrs,Not disclosed,Ahmedabad,Basic Qualifications: . bachelors degree in engineering and MBA in marketing is mustMin...,"Automation,Email marketing,Social media,Process control,Market research,SEO,Digital marketing,Data mining"
Marketing Executive,Shining Sun Solutions,3.5,4-9 Yrs,Not disclosed,Nagpur,Shining Sun Solutions is looking for Marketing Executive to join our dynamic team and e...,"Marketing Executive,Marketing"
Marketing Executive,Grocio,,0-3 Yrs,Not disclosed,Noida,He / she must bring forth a strong arsenal of techniques and methods to promote our pro...,"data analysis,marketing strategies,android,presentation skills,market research,research,strategic planning,people skills"
Python Software Developer,Corbus,3.6,3-4 Yrs,6-7 Lacs PA,Noida(Sector-125 Noida),Should have excellent verbal and written communication skill Experience with popular Re...,"Python Development,Python Framework,Django Rest Api,Django,Python Flask,Django Framework,Python,Flask"
Cloud Data Engineer,NXP Semiconductors,3.8,4-9 Yrs,Not disclosed,Bengaluru,Masters or bachelors degree in Computer Science / Software Engineering (eg Data Enginee...,"IT services,Cloud computing,Analytical,Artificial Intelligence,Machine learning,Cloud,Scrum,Operations"
Python Developer,Middleware Systems Technologies,,5-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Bangalore Rural, Chennai",Required Qualifications Proven experience as a Python Developer or similar role Experie...,"Pyspark,Python Development,SQL,Django,oops,API,Python,Development"
"Full-Stack Python Fast API and Next.js Developer
",Novizco Infotech,,4-9 Yrs,10-18 Lacs PA,Thiruvananthapuram,Experience with Next.js and modern front-end technologiesPreferred candidate profile 4+...,"Python FastAPI,WebSocket Commuication,MongoDB,Nextjs,Python,Postgresql,Redis,Front End Technologies"
Java Developer - S,Infosys,3.8,3-8 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru","and build POCs. You will create requirement specifications from the business needs, def...","java,Java Development,Spring Boot,Microservices,Spring,Boot,Development,S"
Cloud Native Engineer,Accenture,4.0,3-8 Yrs,Not disclosed,Indore,Educational Qualification : 15 years full time education. Summary :As a Cloud Native En...,"microsoft azure,docker,gcp,devops,aws,kubernetes,continuous integration,python"
Python and AWS Developer,JRD Systems,3.9,7-12 Yrs,Not disclosed,Bengaluru,"Bachelor s degree in computer science or a related fieldAs part of our dynamic team, yo...","Terraform,Pandas,aws,Numpy,Python,NoSQL,SQL,Development"
Asst.Marketing Manager,Aswani Industries,4.2,2-5 Yrs,Not disclosed,Surat,Required Qualification : Minimum Graduate Experience : At least 2-5 years experience in...,"Market mapping,Brand activation,Sales,btl activation,Online branding,Vendor Development,Atl,Consumer insights"
Executive - Marketing,Aster Pharmacy,3.6,0-2 Yrs,Not disclosed,"Hubli, Mangaluru, Mysuru, Bengaluru, Belgaum",Aster Pharmacy (India) is looking for Executive - Marketing to join our dynamic team an...,"digital marketing,digital,marketing strategies,branding,business development,media,advertising,sales"
